postcode,value
2000,41
2022,1
2042,2
2121,1
2126,3
2141,1
2280,3
2308,1
2518,1
2600,1
2601,2
2602,8
2603,1
2604,1
2605,1
2606,3
2611,2
2612,5
2614,9
2615,3
2617,11
2619,1
2713,2
2902,1
2911,2
2914,4
3141,2
