postcode,value
1225,3
1590,1
2000,36
2009,1
2011,1
2026,2
2031,1
2033,1
2035,1
2041,1
2057,1
2061,1
2064,2
2065,6
2066,1
2067,6
2068,2
2070,1
2071,1
2072,1
2074,1
2075,4
2087,1
2088,7
2089,13
2090,10
2099,2
2111,2
2120,2
2122,1
2127,1
2133,1
2138,4
2140,1
2143,1
2150,1
2154,2
2156,8
2211,1
2217,1
2220,3
2257,1
2761,1
5063,1
