postcode,value
" ",1
2000,11
2010,1
2011,1
2017,1
2018,2
2019,5
2027,1
2035,1
2046,2
2048,2
2067,1
2131,1
2134,1
2137,1
2145,1
2153,2
2165,2
2170,1
2176,2
2197,2
2204,3
2207,2
2208,1
2216,2
2217,2
2218,2
2219,9
2220,2
2221,3
2222,2
2223,4
2224,4
2225,2
2227,4
2228,2
2229,7
2230,1
2232,3
2233,1
2234,1
2530,1
2560,4
2567,3
2759,2
2761,2
4000,1
4152,1
4558,1
6018,1
