postcode,value
1001,5
2000,9
2031,5
2067,1
2077,2
2126,1
2132,2
2140,2
2145,1
2170,2
2171,1
2192,11
2196,15
2197,6
2198,2
2200,3
2210,1
2213,5
2221,4
2229,1
2560,5
2906,1
3057,4
5076,2
