"postcode","value"
"7120",2
"7140",11
"7150",4
"7155",2
"7162",1
"7170",15
"7171",8
"7172",2
"7173",10
"7178",1
"7180",1
"7190",4
"7210",3
"7211",2
"7212",4
"7213",1
"7215",9
"7216",12
"7248",22
"7249",39
"7250",157
"7252",7
"7253",9
"7255",11
"7256",5
"7258",2
"7259",2
"7260",9
"7262",11
"7263",1
"7264",1
"7268",3
"7270",8
"7275",1
"7277",17
"7290",12
"7300",9
"7301",5
"7302",3
"73025",2
"7303",3
"7304",8
"7305",2
"7306",9
"7307",33
"7310",71
"7315",26
"7316",20
"7320",37
"7321",6
"7322",3
"7325",22
"7330",16
"7331",1
"7428",1
"7467",4
"7468",2
"7470",3
"75131",1
"7670",1
"7726",1
"7730",1
"7789",1
"7811",1
"7945",1
"800",90
"8000",51
"8001",2
"8002",1
"801",5
"8016",1
"8022",1
"8023",1
"8025",1
"8035",1
"8041",1
"8042",2
"8052",1
"8062",1
"8083",1
"810",46
"811",1
"812",21
"813",1
"816",1
"820",37
"821",2
"822",7
"828",3
"830",40
"831",1
"832",33
"835",6
"836",12
"839",5
"8400",1
"841",1
"846",1
"850",12
"852",2
"853",1
"854",1
"860",2
"861",1
"862",1
"870",33
"872",6
"8720",1
"880",7
"8800",1
"885",2
"886",4
"8882",1
"9012",1
"930",2
"931",1
"932",1
"9343",1
"9430",1
"95014",1
"961",2
"971",1
"974",1
"982",1
"9871",1
"Annette",1
"Hackwood",1
"NSW",2
"Q4507",1
"Queensland  4122",1
"Richmond",1
"VIC",1
"Wa",1
"asdf",1
"df",1
"qld",1
,2539558
