postcode,value
2000,24
2010,1
2015,2
2016,1
2017,1
2021,2
2025,1
2026,2
2029,1
2031,1
2032,1
2035,1
2036,3
2060,1
2064,3
2066,2
2068,4
2069,1
2071,2
2075,1
2090,1
2101,6
2102,1
2114,5
2117,2
2126,2
2130,3
2133,1
2134,2
2138,1
2141,3
2145,1
2148,1
2151,3
2153,3
2154,5
2155,4
2160,1
2166,1
2176,1
2199,1
2210,2
2216,1
2217,1
2219,1
2221,1
2223,2
2224,1
2226,1
2230,2
2232,1
2305,1
2315,1
2560,1
2567,6
2607,2
2745,1
2756,1
2760,1
3000,5
4101,2
4116,1
4502,1
